Date,Volume,Number of Unique Addresses,Total Transactions,Miner Revenue,Hash Rate,Difficulty,Manpool Count,Average Block Size,Google Trends,positive_news_count,neutral_news_count,negative_news_count,avg_news_sentiment_score,avg_stackex_sentiment_score,Fear & Greed Index,BTC_return,DASH_return,DOGE_return,ETH_return,LTC_return,XRP_return,Gold_return,Silver_return,Copper_return,Oil_return,DXY_return,10Y_Treasury_return,DJIA_return,SP500_return,NASDAQ_return,JP225_return,CSI300_return,SGD/USD_return,RUB/USD_return,JPY/USD_return,GBP/USD_return,EUR/USD_return,CNY/USD_return,CAD/USD_return,AUD/USD_return,is_difficulty_updated,Next_Day_BTC_Return
1/2/18,9959400448,531441,296046100,24473743.42,20216478.37,2.60308E+12,18227.98958,0.987508671,28,537,905,578,-0.019711436,-0.003125,30,-0.10278342,-0.115301359,-0.163227953,-0.072895723,-0.128888106,-0.171938831,0.003958214,-0.004998863,0.004082918,0.016530197,-0.005160991,0.019485284,0.001427196,-0.000648089,-0.003456815,0.016790002,-0.007016256,0.000205934,0.002478036,-0.004349244,0.003152753,0.000732499,0.005233881,0.002771922,-0.004916616,0,-0.037052348
2/2/18,12726899712,531441,296975108,24473743.42,20216478.37,2.60308E+12,18227.98958,0.987508671,38,710,1226,811,-0.014654496,0.030498965,15,-0.037052348,-0.048880074,-0.110161066,-0.116711254,-0.076726843,-0.080772581,-0.007885217,-0.02582074,-0.006412244,-0.005319241,0.005977205,0.029210274,-0.0254232,-0.021208548,-0.019619878,-0.009008733,0.005966889,0.002331687,0.004213483,-0.001856503,0.004665325,0.007355866,-0.001622356,0.003376899,-0.002574036,0,0.038972925
3/2/18,7263790080,436197,296975108,19143008.7,20216478.37,2.60308E+12,17048.21354,0.996566861,25,429,512,312,0.037576057,0.038252165,40,0.038972925,0.086034631,0.15396648,0.052669579,0.219753558,0.044371302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097864761
4/2/18,7073549824,436197,296975108,19143008.7,19890578.53,2.60308E+12,17048.21354,0.996566861,20,291,419,187,0.040670903,0.016517857,24,-0.097864761,-0.137138153,-0.148140976,-0.134164345,-0.07628709,-0.117245653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159688074
5/2/18,9285289984,436197,296975108,19143008.7,19890578.53,2.60308E+12,7665.494792,0.996566861,36,878,1581,687,0.003397394,0.019245629,11,-0.159688074,-0.179168059,-0.196862923,-0.163812107,-0.153318649,-0.151898416,-0.000524819,-0.002218797,0.010703579,-0.019862421,0.003923835,-0.021023189,-0.046048851,-0.040979225,-0.037760294,-0.025454831,0.000682192,-0.009434579,-0.008335664,-0.005689278,-0.010893854,-0.005041563,-0.001454935,-0.013787041,-0.016681757,0,0.114838098
6/2/18,13999800320,436197,297797902,19143008.7,19890578.53,2.60308E+12,7665.494792,0.996566861,45,760,1310,935,-0.03755411,-0.067960373,8,0.114838098,0.17073147,0.234361732,0.136357741,0.140915944,0.122281201,-0.005176312,-0.005469055,-0.01027877,-0.011847266,0.000446603,-0.009305664,0.023290288,0.017440921,0.021291635,-0.047254919,-0.029306624,-0.00111081,-0.015231863,0.008582746,-0.011880516,-0.006356582,0.002844726,-0.008288412,-0.004015739,0,-0.017113773
7/2/18,9169280000,489403,297797902,15016976,19890578.53,2.60308E+12,7279.895833,1.07172239,29,574,1033,580,0.003906813,0.026743742,36,-0.017113773,-0.012323535,-0.014675533,-0.045458348,-0.033484586,-0.067617796,-0.010934319,-0.020667208,-0.031786018,-0.02524055,0.007478578,0.027456726,-0.000779517,-0.005001589,-0.008979902,0.001625568,-0.023714416,0.002661769,0.007733731,-0.004800349,0.001075038,0.001089117,0.001144726,0.002527237,0.002447096,0,0.084538078
8/2/18,9346750464,489403,297797902,15016976,22043211.74,2.60308E+12,7279.895833,1.07172239,25,500,826,393,0.030099069,0.002083333,30,0.084538078,0.159040117,0.062601815,0.080229272,0.081496062,0.112402998,0.004040903,0.006664187,-0.001462673,-0.010357653,-0.00033236,0.002461311,-0.041492555,-0.03753642,-0.03897059,0.011341467,-0.009492662,-0.004544513,-0.016656245,0.003946503,-0.005690366,-0.009139597,0.002381072,-0.00483041,-0.009693549,0,0.057030488
9/2/18,6784820224,489403,297797902,15016976,22043211.74,2.87467E+12,6211.5,1.07172239,22,424,650,433,-0.018202389,0.011363636,44,0.057030488,0.054235896,0.095050372,0.080774538,0.096904936,0.185237664,-0.002885601,-0.012136813,-0.015462283,-0.03188881,0.002327375,-0.007716617,0.013848829,0.01493609,0.014361484,-0.023217007,-0.042719961,-0.004897785,-0.008151231,0.006114872,0.004013185,-0.000600744,-0.009282298,-0.002034272,-0.003823527,1,-0.013171608
10/2/18,7780960256,489403,298604656,15016976,22043211.74,2.87467E+12,6211.5,1.07172239,16,228,574,270,-0.030369963,0.008333333,54,-0.013171608,-0.005835497,-0.0022,-0.026531215,-0.050972826,0.121865626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057055887
